pos,signal,snr,fspl,label
355,-105,7,-83.488743,1
356,-89,13.5,-84.75507686,1
357,-93,13,-84.75507686,1
358,-121,-2.200000048,-87.26132682,1
359,-114,5.199999809,-83.488743,1
360,-121,-0.5,-87.26132682,1
361,-90,11.80000019,-84.75507686,1
362,-114,6.800000191,-83.488743,1
363,-112,7,-83.488743,1
364,-90,10,-84.75507686,1
365,-123,-3.5,-87.26132682,1
366,-110,7.5,-83.488743,1
367,-123,-1.799999952,-87.26132682,1
368,-69,8.199999809,-84.97811207,1
369,-72,9.5,-84.97811207,1
370,-124,-2.5,-87.26132682,1
371,-112,7.800000191,-83.488743,1
372,-114,7.199999809,-83.488743,1
373,-96,10.19999981,-84.75507686,1
374,-78,10.19999981,-84.97811207,1
375,-95,9.800000191,-84.75507686,1
376,-123,-3.799999952,-87.26132682,1
377,-72,10.5,-84.97811207,1
378,-101,7.5,-84.75507686,1
379,-113,5.800000191,-83.488743,1
380,-121,-3.200000048,-87.26132682,1
381,-87,9,-84.75507686,1
382,-114,7.800000191,-83.488743,1
383,-124,-3.799999952,-87.26132682,1
384,-126,-1.5,-87.26132682,1
385,-101,12,-84.75507686,1
386,-119,7.5,-83.488743,1
387,-104,-2.200000048,-88.24733526,1
388,-103,-12.5,-85.05722912,1
389,-103,-0.200000003,-99.57666016,1
390,-93,3.200000048,-86.24661348,1
391,-105,-5.800000191,-88.24733526,1
392,-95,4,-86.24661348,1
393,-105,-7.800000191,-88.24733526,1
394,-101,-7.800000191,-88.24733526,1
395,-94,3,-86.24661348,1
396,-94,2.5,-86.24661348,1
397,-104,-4.5,-99.57666016,1
398,-91,5.199999809,-86.24661348,1
399,-104,-13.80000019,-85.05722912,1
400,-104,-5.199999809,-88.24733526,1
401,-46,14,-85.54338954,1
402,-121,-7.800000191,-108.3840116,1
403,-103,-4,-109.4187788,1
404,-45,15,-85.54338954,1
405,-125,-13.19999981,-101.6171155,1
406,-103,-5,-109.4187788,1
407,-120,-15.5,-105.6736145,1
408,-101,-2.799999952,-109.4187788,1
409,-123,-6.199999809,-108.3840116,1
410,-121,-12.19999981,-101.6171155,1
411,-104,-14.80000019,-110.6298711,1
412,-119,-15.5,-105.6736145,1
413,-45,15,-85.54338954,1
