pos,signal,snr,fspl,label
591,5.01E-13,9.199999809,3.35E-12,0
592,7.94E-10,8.800000191,5.55E-12,0
593,1.26E-09,13.19999981,5.55E-12,0
594,2.51E-13,9.5,1.10E-12,0
595,2.00E-14,10,1.10E-12,0
596,1.26E-13,11,1.08E-12,0
597,2.00E-13,9.5,3.35E-12,0
598,3.16E-10,12.80000019,5.55E-12,0
599,1.00E-12,10.80000019,3.35E-12,0
600,1.26E-09,12,5.55E-12,0
601,6.31E-13,10,1.08E-12,0
602,2.00E-10,13,5.55E-12,0
603,3.16E-13,9.199999809,1.10E-12,0
604,1.00E-09,12.80000019,5.55E-12,0
605,1.26E-12,12,3.35E-12,0
